2982 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.library.path=C:\Program Files (x86)\Java\jdk1.7.0_21\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\JetBrains\IntelliJ IDEA 12.0\bin\..\.\bin;C:\Python27\;C:\Python27\Scripts;C:\ProgramData\Oracle\Java\javapath;C:\Ruby193\bin;C:\Program Files (x86)\PHP\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Git\cmd;C:\maven\bin;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\runtime\win64;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\bin;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\polyspace\bin;C:\hadoop\bin;C:\Program Files\Microsoft Windows Performance Toolkit\;C:\cygwin64\bin;C:\apache-storm-0.9.5\bin;c:\program files (x86)\jetbrains\intellij idea 12.0\jre\jre\bin;.
2987 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.io.tmpdir=C:\Users\yorik\AppData\Local\Temp\
2987 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.compiler=<NA>
2987 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:os.name=Windows 7
2987 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:os.arch=x86
2987 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:os.version=6.1
2987 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:user.name=yorik
2987 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:user.home=C:\Users\yorik
2987 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:user.dir=C:\projects\machinelearning\cloudapp-mp3-master
3784 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir C:\Users\yorik\AppData\Local\Temp\11720074-ff85-4a83-a041-0a56eb6628bf\version-2 snapdir C:\Users\yorik\AppData\Local\Temp\11720074-ff85-4a83-a041-0a56eb6628bf\version-2
3789 [main] INFO  org.apache.storm.zookeeper.server.NIOServerCnxnFactory - binding to port 0.0.0.0/0.0.0.0:2000
3791 [main] INFO  backtype.storm.zookeeper - Starting inprocess zookeeper at port 2000 and dir C:\Users\yorik\AppData\Local\Temp\11720074-ff85-4a83-a041-0a56eb6628bf
